title,anime_types,anime_episodes,anime_ratings,anime_averages,anime_reviews,anime_members
Gekijouban Natsume Yuujinchou: Utsusemi ni Musubu,Movie,1,8.69(474),7.92(477),N/A(0),1365
Lupin Sansei: Part 5,TVSeries,24,8.69(359),7.75(363),7.83(1),1325
Ashita no Joe,TVSeries,79,8.67(654),7.68(665),N/A(0),2214
Shirobako,TVSeries,24,8.67(2825),8.07(2841),8.08(2),6874
Kingdom (2022),TVSeries,26,8.66(208),8.04(209),N/A(0),675
Aria the Avvenire,OVA,3,8.65(775),7.87(778),N/A(0),2071
Kaze no Tani no Nausicaa,Movie,1,8.65(8789),8.38(8844),8.36(11),14498
Kino no Tabi: The Beautiful World,TVSeries,13,8.65(5305),8.33(5342),7.72(9),10942
Zoku Natsume Yuujinchou,TVSeries,13,8.65(4079),8.36(4118),N/A(0),8480
Gintama (2016),OVA,2,8.64(779),8.12(785),N/A(0),1705
Made in Abyss: Retsujitsu no Ougonkyou,TVSeries,12,8.64(1102),8.09(1110),N/A(0),2768
"""Oshi no Ko""",TVSeries,11,8.63(1027),8.06(1045),4.00(1),2418
Code Geass: Hangyaku no Lelouch,TVSeries,25,8.63(17254),8.61(17689),7.56(19),30271
Golden Kamuy (2020),TVSeries,12,8.63(800),8.12(803),7.33(1),1998
Saiki Kusuo no Sainan (2018),TVSeries,24,8.62(1554),8.17(1558),6.33(1),3173
Stand By Me Doraemon 2,Movie,1,8.62(121),8.24(123),N/A(0),261
Ginga Eiyuu Densetsu: Waga Yuku wa Hoshi no Taikai,Movie,1,8.61(1548),7.85(1553),N/A(0),3476
Gintama,TVSeries,201,8.60(5460),8.40(5616),6.96(5),13984
Non Non Biyori: Vacation,Movie,1,8.60(898),8.05(900),N/A(0),2036
Baccano!,TVSeries,13,8.59(9151),8.38(9253),8.68(10),18230
Fate/Zero,TVSeries,13,8.59(8030),8.26(8092),8.18(9),16392
Non Non Biyori Nonstop,TVSeries,12,8.59(784),8.10(790),N/A(0),1863
Yi Nian Yong Heng: Chuan Cheng Pian,Web,54,8.59(16),7.75(16),N/A(0),88
Bocchi the Rock!,TVSeries,12,8.58(1209),8.11(1218),N/A(0),2605
Death Note,TVSeries,37,8.58(20479),8.65(21310),7.90(23),33707
Mahou Shoujo Madoka Magica,TVSeries,12,8.58(9008),8.25(9111),7.48(14),16438
Violet Evergarden Gaiden: Eien to Jidou Shuki Ningyou,Movie,1,8.58(1167),8.12(1172),N/A(0),2745
Yojouhan Time Machine Blues,Web,6,8.58(225),7.79(227),N/A(0),540
Chibi Maruko-chan: Watashi no Suki na Uta,Movie,1,8.57(60),6.73(61),N/A(0),208
Ningen Shikkaku: Director`s Cut Ban,Movie,1,8.57(106),7.57(107),N/A(0),398
Tsumiki no Ie,Movie,1,8.57(2596),7.92(2612),8.29(5),4203
Aria the Natural,TVSeries,26,8.56(2845),8.27(2878),7.66(3),7144
Kaguya-sama wa Kokurasetai: First Kiss wa Owaranai,Movie,1,8.56(498),7.96(504),N/A(0),1210
Sora yori mo Tooi Basho,TVSeries,13,8.56(2430),8.10(2442),7.00(1),5229
Gekijouban Mahou Shoujo Madoka Magica,Movie,3,8.55(3125),7.97(3140),N/A(0),6536
Planetes,TVSeries,26,8.54(7388),8.42(7449),8.61(21),14258
Seirei no Moribito,TVSeries,26,8.54(7519),8.50(7626),8.78(17),14180
Tentai Senshi Sunred 2,TVSeries,26,8.54(594),7.98(598),N/A(0),1568
Hotaru no Haka,Movie,1,8.53(8040),8.28(8102),8.64(9),13166
Koukaku Kidoutai Stand Alone Complex: The Laughing Man,OVA,1,8.53(1721),8.26(1732),N/A(0),5188
Major (2009),TVSeries,25,8.53(1465),8.36(1487),7.83(1),3003
Princess Tutu,TVSeries,38,8.53(2020),8.04(2037),8.46(10),5040
Shingeki no Kyojin: The Final Season,TVSeries,16,8.53(2308),8.15(2337),N/A(0),5351
Toki o Kakeru Shoujo,Movie,1,8.53(11680),8.43(11790),8.01(12),19322
Katanagatari,TVSeries,12,8.52(6045),8.25(6107),8.09(5),13457
Kimi no Suizou o Tabetai,Movie,1,8.52(1954),8.13(1968),9.33(1),3808
Ookami to Koushinryou II,TVSeries,12,8.52(6651),8.31(6702),7.49(3),13646
Out of Sight,Web,1,8.52(477),7.75(482),N/A(0),747
Mob Psycho 100 II,TVSeries,13,8.51(3027),8.09(3041),5.33(1),6041
Bakemonogatari,TVSeries,12,8.50(11593),8.33(11734),8.33(7),22766
Koukaku Kidoutai S.A.C. 2nd GIG: Individual Eleven,OVA,1,8.50(1509),8.23(1520),N/A(0),4808
NHK ni Youkoso!,TVSeries,24,8.50(10957),8.46(11116),7.51(18),18910
Owarimonogatari,TVSeries,12,8.50(2580),8.03(2593),N/A(0),6363
Yoru wa Mijikashi Aruke yo Otome,Movie,1,8.50(1042),7.80(1045),N/A(0),2232
Aria the Benedizione,Movie,1,8.49(174),7.76(175),N/A(0),481
Fruits Basket: Prelude,Movie,1,8.49(194),7.85(194),N/A(0),641
Gekijouban Soushuuhen Made in Abyss,Movie,2,8.49(511),7.90(516),N/A(0),1820
Hachimitsu to Clover II,TVSeries,12,8.49(5038),8.48(5106),8.44(7),8539
Josee to Tora to Sakana-tachi,Movie,1,8.49(768),8.01(775),N/A(0),1769
Mushoku Tensei: Isekai Ittara Honki Dasu (2021),TVSeries,12,8.49(2263),8.07(2286),6.25(2),4944
Sennen Joyuu,Movie,1,8.49(4372),8.13(4390),8.54(7),8067
Meitantei Conan: Episode One - Chiisaku Natta Meitantei,TVSpecial,1,8.48(202),7.65(203),N/A(0),511
Bakuman. (2011),TVSeries,25,8.47(3116),8.14(3134),N/A(0),6462
Gekijouban Fate/Stay Night: Heaven`s Feel,Movie,3,8.47(1369),8.00(1379),N/A(0),3901
Hanada Shounen-shi,TVSeries,25,8.47(679),8.10(683),8.83(1),1863
Hidamari Sketch: Sae Hiro Sotsugyou Hen,OVA,2,8.47(532),7.78(534),N/A(0),1365
Omae Umasou Da na,Movie,1,8.47(287),7.48(289),N/A(0),759
Violet Evergarden,TVSeries,13,8.47(4111),8.08(4138),7.10(3),8552
Xing Fu Lu Shang,Movie,1,8.47(13),6.75(14),N/A(0),66
Hibike! Euphonium 2,TVSeries,13,8.46(1658),7.95(1663),7.16(1),3679
Koukaku Kidoutai Stand Alone Complex: Solid State Society,TVSpecial,1,8.46(4442),8.33(4481),7.95(4),9867
Lupin the IIIrd: Jigen Daisuke no Bohyou,Movie,1,8.46(577),7.72(578),N/A(0),1445
Sakamichi no Apollon,TVSeries,12,8.46(3448),8.10(3464),7.16(5),7063
Gekijouban Gintama: Shin`yaku Benizakura Hen,Movie,1,8.45(1825),8.08(1842),N/A(0),4014
Gintama: The Semi-Final,Web,2,8.45(401),8.07(403),N/A(0),1011
JoJo no Kimyou na Bouken: Diamond wa Kudakenai,TVSeries,39,8.44(2338),8.00(2353),4.50(1),4938
Kidou Senshi Gundam: The Origin - Zen`ya Akai Suisei,TVSeries,13,8.44(159),7.67(160),8.33(1),527
Kono Oto Tomare! (2019),TVSeries,13,8.44(671),8.08(672),N/A(0),1536
One Outs,TVSeries,25,8.44(3115),8.25(3159),6.24(4),6088
Shinsekai yori,TVSeries,25,8.44(5203),8.10(5254),7.28(7),11608
Uchuu Kyoudai,TVSeries,99,8.44(1833),8.12(1846),5.00(1),5150
Zoku Owarimonogatari,Movie,1,8.44(1051),7.93(1059),N/A(0),2983
Aria the OVA: Arietta,OVA,1,8.43(2140),8.10(2157),4.50(1),5242
Shigatsu wa Kimi no Uso,TVSeries,22,8.43(5440),8.08(5482),7.74(6),10159
Summer Time Render,TVSeries,25,8.43(980),8.00(991),N/A(0),2508
Haikyuu!! To the Top (2020),TVSeries,12,8.42(833),8.03(840),6.50(1),1966
Kemono no Souja Erin,TVSeries,50,8.42(2095),8.16(2116),7.24(6),5582
Liz to Aoi Tori,Movie,1,8.42(789),7.79(798),N/A(0),1976
Wu Liuqi: Xuanwu Guo Pian,Web,10,8.42(108),7.55(110),N/A(0),269
Yakusoku no Neverland,TVSeries,12,8.42(3444),8.11(3465),5.91(2),6662
Dennou Coil,TVSeries,26,8.41(5326),8.31(5389),8.20(8),11796
Gekijouban Shoujo Kageki Revue Starlight,Movie,1,8.41(130),7.58(130),N/A(0),397
Higurashi no Naku Koro ni Kai,TVSeries,24,8.41(6257),8.31(6351),8.21(6),12914
Kaguya-sama wa Kokurasetai? Tensai-tachi no Ren`ai Zunousen,TVSeries,12,8.41(2522),8.05(2540),8.50(1),5157
Maison Ikkoku,TVSeries,96,8.41(1488),8.13(1518),7.91(6),4006
Nodame Cantabile: Paris Hen,TVSeries,11,8.41(4591),8.33(4615),6.91(2),8532
Detroit Metal City,OVA,12,8.40(5711),8.28(5779),7.41(4),10076
Girls und Panzer Gekijouban,Movie,1,8.40(1084),7.95(1092),N/A(0),2554
Kaiba,TVSeries,12,8.40(3271),8.09(3324),8.10(6),7104
Luo Xiao Hei Zhanji (2019),Movie,1,8.40(140),7.30(140),N/A(0),441
Mirai Shounen Conan,TVSeries,26,8.40(1196),8.02(1220),8.20(4),2997
Ghost in the Shell,Movie,1,8.39(12687),8.36(12807),8.58(11),19995
Mononoke,TVSeries,12,8.39(2985),8.08(3017),8.12(5),7034
Non Non Biyori Repeat,TVSeries,12,8.39(2102),7.99(2110),7.50(1),4470
Fruits Basket 2nd Season,TVSeries,25,8.38(792),7.96(794),N/A(0),2291
Pluto,Web,8,8.38(292),7.90(295),6.50(2),650
Redline,Movie,1,8.38(4433),8.06(4461),7.66(5),8494
Touch,TVSeries,101,8.38(1221),8.09(1236),8.27(3),2983
Kiseijuu: Sei no Kakuritsu,TVSeries,24,8.37(6156),8.09(6190),7.74(4),11542
Magical Girl Lyrical Nanoha The Movie 2nd A`s,Movie,1,8.37(715),7.81(721),N/A(0),1937
Ookami to Koushinryou,TVSeries,12,8.37(10093),8.34(10206),8.31(10),19376
Romeo no Aoi Sora,TVSeries,33,8.37(317),7.77(320),N/A(0),1275
Sangatsu no Lion,TVSeries,22,8.37(2620),7.93(2633),7.00(1),5906
Barakamon,TVSeries,12,8.36(4213),8.03(4236),7.91(2),8175
Eiga K-On!,Movie,1,8.36(3140),8.02(3154),7.50(1),6351
Kaguya-hime no Monogatari,Movie,1,8.36(1606),7.75(1612),7.27(3),3705
Lupin the IIIrd: Chikemuri no Ishikawa Goemon,Movie,1,8.36(377),7.59(380),N/A(0),1085
Nana,TVSeries,47,8.36(4934),8.42(5096),7.63(5),10543
Raiyantsuuri no Uta,Movie,1,8.36(18),7.19(18),7.66(1),126
xxxHOLiC Rou,OVA,2,8.36(1714),8.09(1722),7.83(1),4211
Glass no Kamen (2005),TVSeries,51,8.35(698),7.98(711),7.91(2),2053
Kimetsu no Yaiba: Yuukaku Hen,TVSeries,11,8.35(1713),8.00(1724),6.50(2),4088
Mimi o Sumaseba,Movie,1,8.35(4718),8.18(4740),9.04(7),9049
Natsume Yuujinchou: Itsuka Yuki no Hi ni,OVA,1,8.35(1110),7.87(1114),N/A(0),2715
Seikai no Senki II,TVSeries,10,8.35(3713),8.25(3725),8.99(4),7189
Stranger: Mukou Hadan,Movie,1,8.35(6147),8.24(6186),8.70(4),11208
Eiga Yuru Camp,Movie,1,8.34(363),8.00(364),N/A(0),950
Gin no Saji (2014),TVSeries,11,8.34(2383),8.01(2391),7.66(1),4673
Ousama Ranking,TVSeries,23,8.34(1099),7.89(1108),4.05(3),2506
Steins;Gate: Fuka Ryouiki no Deja vu,Movie,1,8.34(4328),8.06(4359),6.74(2),8363
One Piece,TVSeries,,8.33(9114),8.60(9834),8.68(20),20719
Spy x Family,TVSeries,12,8.33(2267),8.01(2287),N/A(0),5095
Tonari no Totoro,Movie,1,8.33(8794),8.22(8852),8.74(8),15040
Ano Hi Mita Hana no Namae o Bokutachi wa Mada Shiranai.,TVSeries,11,8.32(8525),8.15(8620),7.46(11),15426
Ghost in the Shell (2008),Movie,1,8.32(2694),8.06(2711),6.61(3),6973
Haikyuu!!,TVSeries,25,8.32(3429),8.04(3450),7.00(1),6822
Han Hua Ri Ji Di San Ji,Web,12,8.32(11),7.04(11),N/A(0),57
Kenpuu Denki Berserk,TVSeries,25,8.32(10364),8.42(10649),8.26(35),17418
Major (2010),TVSeries,25,8.32(1142),8.13(1150),N/A(0),2562
xxxHOLiC: Kei,TVSeries,13,8.32(3337),8.25(3362),8.33(3),7525
Akage no Anne,TVSeries,50,8.30(542),7.73(556),7.83(3),1743
Bleach: Sennen Kessen Hen,TVSeries,13,8.30(690),7.91(703),4.66(1),1990
Gyakkyou Burai Kaiji: Hakairoku Hen,TVSeries,26,8.30(2121),7.90(2136),N/A(0),4378
Hidamari Sketch x Hoshi Mittsu,TVSeries,12,8.30(1252),7.95(1260),N/A(0),3096
Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan o Erande Iraremasen (2020),TVSeries,12,8.30(1495),7.94(1502),4.33(2),3341
Hotarubi no Mori e,Movie,1,8.30(4184),8.00(4209),8.50(1),7753
Karakai Jouzu no Takagi-san 3,TVSeries,12,8.30(501),7.89(504),N/A(0),1348
Major,TVSeries,26,8.30(2502),8.32(2539),8.32(5),4575
Roujin to Umi,Movie,1,8.30(32),7.18(32),N/A(0),78
Shingeki no Kyojin Season 3,TVSeries,12,8.30(3946),8.09(3972),7.91(2),8282
Suzume no Tojimari,Movie,1,8.30(522),7.90(528),N/A(0),1238
